"Dilution ""1""",unc,164,22
,unc,188,12
,unc,unc,10
,unc,unc,17
,unc,216,1
,531,98,5
,unc,264,19
,unc,373,21
,unc,277,22
,unc,161,19
,unc,294,20
,unc,141,15
,unc,35,14
,unc,103,18
,unc,216,22
,unc,140,19
,unc,170,19
,unc,111,2
,unc,222,19
,411,133,10
,unc,144,6
,unc,113,unc
,unc,15,0
,unc,unc,29
,unc,293,26
"Dilution ""0.5""",unc,156,19
,unc,158,10
,773,179,15
,549,104,4
,1478,217,24
,unc,120,15
,unc,171,14
,unc,unc,14
,unc,144,7
,529,167,7
,unc,146,16
,unc,161,17
,995,48,3
,unc,162,14
,unc,139,7
,unc,142,15
,unc,122,6
,unc,125,7
,unc,84,9
,546,163,9
,811,58,8
,unc,150,12
,unc,165,14
,296,136,11
,unc,115,8
"Dilution ""0.1""",136,17,1
,89,37,3
,225,20,0
,223,17,2
,343,41,5
,217,22,4
,183,11,3
,248,28,2
,264,24,3
,275,28,0
,81,30,1
,252,19,2
,304,14,3
,313,48,6
,215,23,5
,222,20,1
,332,31,0
,175,14,5
,175,26,3
,241,14,3
,275,35,1
,283,33,2
,240,25,7
,230,26,1
"Dilution ""0.01""",unc,18,1
,227,22,4
,121,22,1
,unc,26,0
,126,21,1
,52,5,3
,152,20,0
,unc,14,0
,80,11,0
,50,3,1
,unc,10,3
,68,6,5
,47,15,1
,183,19,2
,122,19,1
,131,8,2
,132,18,0
,unc,14,1
,23,14,1
,135,14,3
,90,12,1
,159,9,2
,64,3,0
,55,7,1
,unc,17,2
"Dilution ""0.01""",38,3,
,unc,23,
,146,4,
,379,26,
,85,7,
,110,30,
,100,28,
,unc,38,
,110,14,
,11,3,
,unc,66,
,unc,26,
,unc,22,
,247,26,
,unc,28,
,unc,39,
,unc,38,
,unc,67,
,unc,43,
,137,27,
,70,18,
,unc,32,
,unc,71,
